"module","method","path","files"
"intellicare-donabedian","GET","/indicators/{indicator_id}",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py"
"intellicare-donabedian","PUT","/indicators/{indicator_id}",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py"
"intellicare-donabedian","GET","/info",".\intellicare-donabedian\src\donabedian\api\routes\health.py"
"intellicare-donabedian","GET","/items",".\intellicare-donabedian\src\donabedian\api\dependencies.py"
"intellicare-donabedian","GET","/measurements",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py"
"intellicare-donabedian","POST","/measurements",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py"
"intellicare-donabedian","DELETE","/measurements/{measurement_id}",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py"
"intellicare-donabedian","GET","/measurements/{measurement_id}",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py"
"intellicare-donabedian","PUT","/measurements/{measurement_id}",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py"
"intellicare-donabedian","GET","/pillars",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py"
"intellicare-donabedian","POST","/pillars",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py"
"intellicare-donabedian","DELETE","/pillars/{pillar_id}",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py"
"intellicare-donabedian","GET","/pillars/{pillar_id}",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py"
"intellicare-donabedian","PUT","/pillars/{pillar_id}",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py"
"intellicare-donabedian","GET","/trends/{indicator_id}",".\intellicare-donabedian\src\donabedian\api\routes\trends.py"
"intellicare-donabedian","GET","/trends/pillar/{pillar_id}",".\intellicare-donabedian\src\donabedian\api\routes\trends.py"
"intellicare-florence","GET","/",".\intellicare-florence\src\florence\api\main.py"
"intellicare-florence","GET","/api",".\intellicare-florence\src\florence\api\main.py"
"intellicare-florence","POST","/api/v1/analyze",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","POST","/api/v1/analyze-with-rag",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","GET","/api/v1/health",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","GET","/api/v1/info",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","POST","/api/v1/interpret",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","GET","/api/v1/labs",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","GET","/api/v1/panels",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","GET","/api/v1/rag/protocols",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","POST","/api/v1/rag/query",".\intellicare-florence\florence\api\app.py"
"intellicare-florence","GET","/health",".\intellicare-florence\src\florence\api\main.py"
"intellicare-geralda","GET","/api/v1/adherence/{plan_id}",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/education/{condition_code}",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/education/conditions",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/education/material/{material_id}",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/education/search",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/health",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/info",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/plans",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/plans",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/plans/{plan_id}",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/plans/{plan_id}/tasks",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/plans/{plan_id}/tasks",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/reminders",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/reminders",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/reminders/{reminder_id}/cancel",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/reminders/{reminder_id}/pause",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/reminders/{reminder_id}/resume",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/reminders/due",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","GET","/api/v1/reminders/schedule",".\intellicare-geralda\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/tasks/{task_id}/complete",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-geralda","POST","/api/v1/tasks/{task_id}/skip",".\intellicare-geralda\geralda\api\app.py; .\intellicare-geralda\src\geralda\api\app.py"
"intellicare-grahame","GET","/api/v1/health",".\intellicare-grahame\run_api_lite.py"
"intellicare-grahame","GET","/api/v1/Observation",".\intellicare-grahame\run_api_lite.py"
"intellicare-grahame","GET","/api/v1/Patient",".\intellicare-grahame\run_api_lite.py"
"intellicare-grahame","GET","/api/v1/Patient/{patient_id}",".\intellicare-grahame\run_api_lite.py"
"intellicare-nise","GET","/api/v1/info",".\intellicare-nise\nise\api\app.py"
"intellicare-nise","POST","/chatbot/chat",".\intellicare-nise\nise\api\endpoints\chatbot.py"
"intellicare-nise","GET","/chatbot/chatflows",".\intellicare-nise\nise\api\endpoints\chatbot.py"
"intellicare-nise","GET","/chatbot/chatflows/{chatflow_id}",".\intellicare-nise\nise\api\endpoints\chatbot.py"
"intellicare-nise","GET","/chatbot/health",".\intellicare-nise\nise\api\endpoints\chatbot.py"
"intellicare-nise","POST","/chatbot/test",".\intellicare-nise\nise\api\endpoints\chatbot.py"
"intellicare-nise","POST","/framingham/calcular",".\intellicare-nise\nise\api\endpoints\framingham.py"
"intellicare-nise","GET","/framingham/paciente/{paciente_id}",".\intellicare-nise\nise\api\endpoints\framingham.py"
"intellicare-nise","GET","/health",".\intellicare-nise\nise\api\app.py"
"intellicare-nise","GET","/oswaldo/paciente/{paciente_id}/alertas",".\intellicare-nise\nise\api\endpoints\oswaldo.py"
"intellicare-nise","GET","/oswaldo/paciente/{paciente_id}/diagnosticos",".\intellicare-nise\nise\api\endpoints\oswaldo.py"
"intellicare-nise","GET","/oswaldo/paciente/{paciente_id}/resumo",".\intellicare-nise\nise\api\endpoints\oswaldo.py"
"intellicare-nise","GET","/workflows/executions",".\intellicare-nise\nise\api\endpoints\workflows.py"
"intellicare-nise","GET","/workflows/executions/{execution_id}",".\intellicare-nise\nise\api\endpoints\workflows.py"
"intellicare-nise","GET","/workflows/health",".\intellicare-nise\nise\api\endpoints\workflows.py"
"intellicare-nise","POST","/workflows/trigger",".\intellicare-nise\nise\api\endpoints\workflows.py"
"intellicare-nise","GET","/workflows/workflows/{workflow_id}",".\intellicare-nise\nise\api\endpoints\workflows.py"
"intellicare-ocr","GET","/api/v1/health",".\intellicare-ocr\ocr\api\app.py"
"intellicare-ocr","GET","/api/v1/info",".\intellicare-ocr\ocr\api\app.py"
"intellicare-ocr","POST","/api/v1/upload",".\intellicare-ocr\ocr\api\app.py"
"intellicare-ocr","GET","/mcp/tools",".\intellicare-ocr\ocr\api\app.py"
"intellicare-ocr","POST","/mcp/tools/{tool_name}",".\intellicare-ocr\ocr\api\app.py"
"intellicare-oswaldo","GET","/",".\intellicare-oswaldo\src\oswaldo\api\main.py"
"intellicare-oswaldo","GET","/api",".\intellicare-oswaldo\src\oswaldo\api\main.py"
"intellicare-oswaldo","GET","/api/v1/alerts/{patient_id}",".\intellicare-oswaldo\oswaldo\api\app.py"
"intellicare-oswaldo","POST","/api/v1/analyze",".\intellicare-oswaldo\oswaldo\api\app.py"
