"module","file","method","path"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py","GET","/pillars/{pillar_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py","PUT","/pillars/{pillar_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\trends.py","GET","/trends/{indicator_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\trends.py","GET","/trends/pillar/{pillar_id}"
"intellicare-florence",".\intellicare-florence\src\florence\api\main.py","GET","/"
"intellicare-florence",".\intellicare-florence\src\florence\api\main.py","GET","/api"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","POST","/api/v1/analyze"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","POST","/api/v1/analyze-with-rag"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","GET","/api/v1/health"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","GET","/api/v1/info"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","POST","/api/v1/interpret"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","GET","/api/v1/labs"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","GET","/api/v1/panels"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","GET","/api/v1/rag/protocols"
"intellicare-florence",".\intellicare-florence\florence\api\app.py","POST","/api/v1/rag/query"
"intellicare-florence",".\intellicare-florence\src\florence\api\main.py","GET","/health"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/adherence/{plan_id}"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/adherence/{plan_id}"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/education/{condition_code}"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/education/conditions"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/education/material/{material_id}"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/education/search"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/health"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/health"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/info"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/info"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/plans"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/plans"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/plans"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","POST","/api/v1/plans"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/plans/{plan_id}"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/plans/{plan_id}"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/plans/{plan_id}/tasks"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/plans/{plan_id}/tasks"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/plans/{plan_id}/tasks"
